Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Baker Mayfield,CrossVal,QB,90.0,88
Jayden Daniels,CrossVal,QB,99.0,100
Jared Goff,CrossVal,QB,93.0,100
Bo Nix,CrossVal,QB,99.0,100
Jalen Hurts,CrossVal,QB,93.0,94
Sam Darnold,CrossVal,QB,94.0,100
Kyler Murray,CrossVal,QB,78.0,71
Patrick Mahomes II,CrossVal,QB,93.0,94
Justin Herbert,CrossVal,QB,94.0,94
Geno Smith,CrossVal,QB,83.0,94
Brock Purdy,CrossVal,QB,89.0,91
Aaron Rodgers,CrossVal,QB,67.0,71
Caleb Williams,CrossVal,QB,99.0,100
Jordan Love,CrossVal,QB,93.0,94
C.J. Stroud,CrossVal,QB,95.0,94
Matthew Stafford,CrossVal,QB,90.0,76
Bryce Young,CrossVal,QB,92.0,88
Kirk Cousins,CrossVal,QB,70.0,76
Tua Tagovailoa,CrossVal,QB,90.0,82
Drake Maye,CrossVal,QB,96.0,100
Russell Wilson,CrossVal,QB,77.0,82
Anthony Richardson,CrossVal,QB,73.0,47
Trevor Lawrence,CrossVal,QB,90.0,82
Daniel Jones,CrossVal,QB,64.0,85
Will Levis,CrossVal,QB,97.0,100
Dak Prescott,CrossVal,QB,81.0,71
Justin Fields,CrossVal,QB,91.0,100
Aidan O'Connell,CrossVal,QB,95.0,100
Drew Lock,CrossVal,QB,99.0,100
Deshaun Watson,CrossVal,QB,74.0,35
Michael Penix Jr.,CrossVal,QB,99.0,100
Sam Howell,CrossVal,QB,89.0,100
J.J. McCarthy,CrossVal,QB,73.0,90
Cam Ward,CrossVal,QB,99.0,100
Tyler Shough,CrossVal,QB,100.0,100
