Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Marquise Brown,FullModel,WR/TE,56.0,53
Ben Sinnott,FullModel,WR/TE,100.0,100
DJ Chark,FullModel,WR/TE,68.0,65
Gerald Everett,FullModel,WR/TE,94.0,94
Luke Musgrave,FullModel,WR/TE,61.0,53
Jaheim Bell,FullModel,WR/TE,88.0,88
Tyler Warren,FullModel,WR/TE,100.0,100
Colston Loveland,FullModel,WR/TE,100.0,100
Travis Hunter,FullModel,WR/TE,100.0,100
Tetairoa McMillan,FullModel,WR/TE,100.0,100
Matthew Golden,FullModel,WR/TE,100.0,100
Jack Bech,FullModel,WR/TE,100.0,100
Emeka Egbuka,FullModel,WR/TE,100.0,100
Luther Burden III,FullModel,WR/TE,100.0,100
Jayden Higgins,FullModel,WR/TE,100.0,100
Jaylin Noel,FullModel,WR/TE,100.0,100
Rondale Moore,FullModel,WR/TE,53.0,47
Lamar Jackson,FullModel,QB,90.0,88
Josh Allen,FullModel,QB,98.0,100
Joe Burrow,FullModel,QB,87.0,82
Baker Mayfield,FullModel,QB,90.0,88
Jayden Daniels,FullModel,QB,100.0,100
Jared Goff,FullModel,QB,98.0,100
Bo Nix,FullModel,QB,100.0,100
Jalen Hurts,FullModel,QB,94.0,94
Sam Darnold,FullModel,QB,98.0,100
Kyler Murray,FullModel,QB,73.0,71
Patrick Mahomes II,FullModel,QB,94.0,94
Justin Herbert,FullModel,QB,94.0,94
Geno Smith,FullModel,QB,91.0,94
Brock Purdy,FullModel,QB,91.0,91
Aaron Rodgers,FullModel,QB,71.0,71
Caleb Williams,FullModel,QB,100.0,100
Jordan Love,FullModel,QB,94.0,94
C.J. Stroud,FullModel,QB,94.0,94
Matthew Stafford,FullModel,QB,80.0,76
Bryce Young,FullModel,QB,89.0,88
Kirk Cousins,FullModel,QB,75.0,76
Tua Tagovailoa,FullModel,QB,81.0,82
Drake Maye,FullModel,QB,98.0,100
Russell Wilson,FullModel,QB,80.0,82
Anthony Richardson,FullModel,QB,53.0,47
Trevor Lawrence,FullModel,QB,82.0,82
Daniel Jones,FullModel,QB,80.0,85
Will Levis,FullModel,QB,99.0,100
Dak Prescott,FullModel,QB,75.0,71
Justin Fields,FullModel,QB,97.0,100
Aidan O'Connell,FullModel,QB,98.0,100
Drew Lock,FullModel,QB,99.0,100
Deshaun Watson,FullModel,QB,49.0,35
Michael Penix Jr.,FullModel,QB,100.0,100
Sam Howell,FullModel,QB,97.0,100
J.J. McCarthy,FullModel,QB,86.0,90
Cam Ward,FullModel,QB,100.0,100
Tyler Shough,FullModel,QB,100.0,100
