Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Deebo Samuel Sr.,Train,WR/TE,88.0,88
Josh Reynolds,Train,WR/TE,76.0,76
Brenton Strange,Train,WR/TE,90.0,91
Tutu Atwell,Train,WR/TE,97.0,97
Colby Parkinson,Train,WR/TE,100.0,100
Noah Gray,Train,WR/TE,100.0,100
Isaiah Likely,Train,WR/TE,94.0,94
Dawson Knox,Train,WR/TE,82.0,82
Rondale Moore,Train,WR/TE,62.0,47
Tee Higgins,Train,WR/TE,76.0,76
Marvin Mims Jr.,Train,WR/TE,97.0,97
T.J. Hockenson,Train,WR/TE,81.0,82
Jerry Jeudy,Train,WR/TE,94.0,94
Joshua Palmer,Train,WR/TE,94.0,94
Tim Patrick,Train,WR/TE,99.0,100
Tyler Lockett,Test,WR/TE,99.0,100
Luke Musgrave,Test,WR/TE,67.0,53
Jayden Reed,Test,WR/TE,100.0,100
DeVonta Smith,Test,WR/TE,88.0,88
Rashee Rice,Test,WR/TE,73.0,59
Mike Gesicki,Test,WR/TE,100.0,100
Christian Watson,Test,WR/TE,77.0,76
Tetairoa McMillan,Test,WR/TE,100.0,100
Jaylin Noel,Test,WR/TE,100.0,100
Romeo Doubs,Test,WR/TE,84.0,82
Zach Ertz,Test,WR/TE,75.0,71
Marquise Brown,Test,WR/TE,63.0,53
Stefon Diggs,Test,WR/TE,81.0,82
Demarcus Robinson,Test,WR/TE,100.0,100
Mike Evans,Test,WR/TE,88.0,88
Jonnu Smith,Test,WR/TE,94.0,94
Calvin Ridley,Test,WR/TE,100.0,100
Dontayvion Wicks,Test,WR/TE,93.0,94
Kendrick Bourne,Test,WR/TE,71.0,71
K.J. Osborn,Test,WR/TE,81.0,82
George Kittle,Test,WR/TE,88.0,88
Davante Adams,Test,WR/TE,94.0,94
Jaxon Smith-Njigba,Test,WR/TE,100.0,100
Jordan Addison,Test,WR/TE,94.0,94
Kyle Pitts,Test,WR/TE,88.0,100
Michael Mayer,Test,WR/TE,79.0,76
Noah Fant,Test,WR/TE,94.0,94
Sam LaPorta,Test,WR/TE,97.0,97
Chigoziem Okonkwo,Test,WR/TE,100.0,100
Andrei Iosivas,Test,WR/TE,97.0,97
Adonai Mitchell,Test,WR/TE,100.0,100
Anthony Richardson,Train,QB,55.0,47
Caleb Williams,Train,QB,99.0,100
C.J. Stroud,Train,QB,95.0,94
Sam Darnold,Train,QB,98.0,100
Jordan Love,Train,QB,94.0,94
Geno Smith,Train,QB,92.0,94
Bryce Young,Train,QB,89.0,88
Kyler Murray,Train,QB,70.0,71
Deshaun Watson,Train,QB,46.0,35
Lamar Jackson,Train,QB,90.0,88
Trevor Lawrence,Train,QB,84.0,82
Jared Goff,Train,QB,98.0,100
Justin Herbert,Train,QB,94.0,94
Josh Allen,Train,QB,99.0,100
Tyler Shough,Train,QB,99.0,100
Tua Tagovailoa,Train,QB,83.0,82
Joe Burrow,Train,QB,88.0,82
Justin Fields,Train,QB,97.0,100
J.J. McCarthy,Train,QB,84.0,90
Baker Mayfield,Train,QB,89.0,88
