Player,FantPos,PlayMoreThan14,PredictedPlayMoreThan14,AdjustedRisk,RiskTier
Tommy Tremble,WR/TE,1,0,2,Minor
Gabe Davis,WR/TE,0,0,2,Minor
Adonai Mitchell,WR/TE,1,1,0,Low
Nelson Agholor,WR/TE,1,1,2,Minor
Jahan Dotson,WR/TE,1,1,0,Low
Tanner Hudson,WR/TE,0,0,1,Low
Josh Reynolds,WR/TE,0,0,3,Moderate
Michael Mayer,WR/TE,0,0,4,High
Trey Palmer,WR/TE,1,1,1,Low
Ja'Lynn Polk,WR/TE,1,1,1,Low
Kylen Granson,WR/TE,1,1,1,Low
Tyler Higbee,WR/TE,0,0,7,Significant
Daniel Bellinger,WR/TE,1,1,0,Low
K.J. Osborn,WR/TE,0,0,3,Moderate
Marquise Brown,WR/TE,0,0,6,Significant
Ben Sinnott,WR/TE,1,1,0,Low
DJ Chark,WR/TE,0,0,5,High
Gerald Everett,WR/TE,1,1,2,Minor
Luke Musgrave,WR/TE,0,0,6,Significant
Jaheim Bell,WR/TE,1,1,1,Low
Tyler Warren,WR/TE,1,1,0,Low
Colston Loveland,WR/TE,1,1,0,Low
Travis Hunter,WR/TE,1,1,0,Low
Tetairoa McMillan,WR/TE,1,1,0,Low
Matthew Golden,WR/TE,1,1,0,Low
Jack Bech,WR/TE,1,1,0,Low
Emeka Egbuka,WR/TE,1,1,0,Low
Luther Burden III,WR/TE,1,1,0,Low
Jayden Higgins,WR/TE,1,1,0,Low
Jaylin Noel,WR/TE,1,1,0,Low
Rondale Moore,WR/TE,0,0,5,High
Lamar Jackson,QB,1,1,0,Low
Josh Allen,QB,1,1,0,Low
Joe Burrow,QB,0,0,2,Minor
Baker Mayfield,QB,1,1,0,Low
Jayden Daniels,QB,1,0,0,Low
Jared Goff,QB,1,1,1,Low
Bo Nix,QB,1,0,0,Low
Jalen Hurts,QB,1,1,1,Low
Sam Darnold,QB,0,1,0,Low
Kyler Murray,QB,0,0,4,High
Patrick Mahomes II,QB,1,1,0,Low
Justin Herbert,QB,1,0,2,Minor
Geno Smith,QB,1,0,2,Minor
Brock Purdy,QB,1,1,1,Low
Aaron Rodgers,QB,0,0,6,Significant
Caleb Williams,QB,1,0,0,Low
Jordan Love,QB,1,1,1,Low
C.J. Stroud,QB,1,1,1,Low
Matthew Stafford,QB,0,1,3,Moderate
Bryce Young,QB,1,1,1,Low
Kirk Cousins,QB,0,0,6,Significant
Tua Tagovailoa,QB,0,0,2,Minor
Drake Maye,QB,0,1,0,Low
Russell Wilson,QB,0,0,4,High
Anthony Richardson,QB,0,0,7,Significant
Trevor Lawrence,QB,0,0,2,Minor
Daniel Jones,QB,0,0,3,Moderate
Will Levis,QB,0,0,0,Low
Dak Prescott,QB,0,0,5,High
Justin Fields,QB,0,0,2,Minor
Aidan O'Connell,QB,0,0,0,Low
Drew Lock,QB,0,0,0,Low
Deshaun Watson,QB,0,0,7,Significant
Michael Penix Jr.,QB,0,0,0,Low
Sam Howell,QB,0,1,0,Low
J.J. McCarthy,QB,1,1,4,High
Cam Ward,QB,1,1,0,Low
Tyler Shough,QB,1,0,0,Low
