ID,Player,Tm,FantPos,2023Age,2023G,2023HealthStatus,2023HealthStatus2,2023SeriousInjury,2024Age,2024G,2024HealthStatus,2024HealthStatus2,2024SeriousInjury,AvgSeasonGames,HealthGrade,2025Age,2025G,ModelProj.2025Games,PlayMoreThan14(AvgSeason),PredictedPlayMoreThan14,AdjustedRisk,RiskTier,Scale
93,D'Andre Swift,PHI,RB,24,16,0,Healthy,0,25,17,0,Healthy,0,16.0,94,26,17,17,1,1,0,Low,
82,Jordan Addison,MIN,WR/TE,21,17,0,Healthy,0,22,15,1,Minor Injuries,0,16.0,94,23,17,16,1,1,2,Minor,
154,Jameson Williams,DET,WR/TE,22,12,2,Moderate Injuries,0,23,15,1,Minor Injuries,0,13.5,79,24,17,13,0,1,6,Significant,
37,Nico Collins,HOU,WR/TE,24,15,1,Minor Injuries,0,25,12,2,Moderate Injuries,0,13.5,79,26,17,17,0,0,6,Significant,
68,Zay Flowers,BAL,WR/TE,23,16,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
18,Puka Nacua,LAR,WR/TE,22,17,0,Healthy,0,23,11,2,Moderate Injuries,0,14.0,82,24,17,17,0,0,3,Moderate,
91,Najee Harris,PIT,RB,25,17,0,Healthy,0,26,17,0,Healthy,0,17.0,100,27,17,17,1,1,0,Low,
92,Bryce Young,CAR,QB,22,16,0,Healthy,0,23,14,1,Minor Injuries,0,15.0,88,24,17,17,1,0,2,Minor,
84,Tony Pollard,DAL,RB,26,17,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
34,Rachaad White,TAM,RB,24,17,0,Healthy,0,25,16,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
57,DeVonta Smith,PHI,WR/TE,25,16,0,Healthy,0,26,13,2,Moderate Injuries,0,15.0,88,27,17,16,1,1,3,Moderate,
65,Calvin Ridley,JAX,WR/TE,29,17,0,Healthy,0,30,17,0,Healthy,0,17.0,100,31,17,16,1,1,1,Low,
177,Rico Dowdle,DAL,RB,25,16,0,Healthy,0,26,16,0,Healthy,0,16.0,94,27,17,17,1,1,0,Low,
78,Jayden Reed,GNB,WR/TE,23,16,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,17,1,1,0,Low,
44,Marvin Harrison Jr.,ARI,WR/TE,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
60,Travis Kelce,KAN,WR/TE,34,15,1,Minor Injuries,0,35,16,0,Healthy,0,16.0,94,36,17,17,1,0,3,Moderate,
163,Darnell Mooney,CHI,WR/TE,26,15,1,Minor Injuries,0,27,16,0,Healthy,0,14.0,82,28,17,17,0,1,2,Minor,
74,Kirk Cousins,MIN,QB,35,8,3,Major Injuries,1,36,14,1,Minor Injuries,0,13.0,76,37,10,16,0,0,8,Significant,
59,DK Metcalf,SEA,WR/TE,26,16,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,17,1,1,2,Minor,
83,Mark Andrews,BAL,WR/TE,28,10,2,Moderate Injuries,0,29,17,0,Healthy,0,14.0,82,30,17,15,0,1,3,Moderate,
24,Tua Tagovailoa,MIA,QB,25,17,0,Healthy,0,26,11,2,Moderate Injuries,0,14.0,82,27,17,17,0,0,3,Moderate,
158,Zach Charbonnet,SEA,RB,22,16,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
111,Xavier Worthy,KC,WR/TE,22,NaN,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
102,Drake Maye,NE,QB,20,NaN,0,Healthy,0,21,14,0,Healthy,0,14.0,100,22,17,17,0,1,0,Low,
50,Keenan Allen,LAC,WR/TE,31,13,2,Moderate Injuries,0,32,15,1,Minor Injuries,0,13.0,76,33,15,16,0,1,7,Significant,
137,Josh Downs,IND,WR/TE,22,17,0,Healthy,0,23,14,1,Minor Injuries,0,16.0,94,24,17,17,1,1,2,Minor,
143,Wan'Dale Robinson,NYG,WR/TE,22,15,1,Minor Injuries,0,23,17,0,Healthy,0,13.0,76,24,17,17,0,1,3,Moderate,
142,Khalil Shakir,BUF,WR/TE,23,17,0,Healthy,0,24,15,1,Minor Injuries,0,15.0,88,25,16,16,1,1,2,Minor,
209,Tyrone Tracy Jr.,NYG,RB,22,NaN,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
79,Kenneth Walker III,SEA,RB,23,15,1,Minor Injuries,0,24,11,2,Moderate Injuries,0,14.0,82,25,17,16,0,0,5,High,
53,Russell Wilson,DEN,QB,35,15,1,Minor Injuries,0,36,11,2,Moderate Injuries,0,14.0,82,37,17,15,0,0,6,Significant,
274,Zach Ertz,,WR/TE,32,7,3,Major Injuries,1,33,17,0,Healthy,0,12.0,71,34,17,16,0,0,6,Significant,
114,Rhamondre Stevenson,,RB,25,12,2,Moderate Injuries,0,26,15,1,Minor Injuries,0,15.0,88,27,17,17,1,0,5,High,
22,Anthony Richardson,,QB,21,4,4,Significant Injuries,1,22,11,2,Moderate Injuries,0,8.0,47,23,17,13,0,0,9,Significant,
66,Cooper Kupp,,WR/TE,30,12,2,Moderate Injuries,0,31,12,2,Moderate Injuries,0,11.0,65,32,17,17,0,0,8,Significant,
182,Quentin Johnston,,WR/TE,22,17,0,Healthy,0,23,15,1,Minor Injuries,0,16.0,94,24,17,16,1,1,2,Minor,
58,Sam LaPorta,,WR/TE,22,17,0,Healthy,0,23,16,0,Healthy,0,16.5,97,24,17,17,1,1,0,Low,
181,Rashod Bateman,,WR/TE,24,16,0,Healthy,0,25,17,0,Healthy,0,13.0,76,26,17,17,0,1,1,Low,
169,Pat Freiermuth,,WR/TE,25,12,2,Moderate Injuries,0,26,17,0,Healthy,0,15.0,88,27,17,15,1,1,3,Moderate,
47,Michael Pittman Jr.,,WR/TE,26,16,0,Healthy,0,27,16,0,Healthy,0,16.0,94,28,17,17,1,1,0,Low,
70,George Pickens,,WR/TE,22,17,0,Healthy,0,23,14,1,Minor Injuries,0,16.0,94,24,17,17,1,1,2,Minor,
201,Tucker Kraft,,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,17.0,100,25,17,16,1,1,0,Low,
200,Alec Pierce,,WR/TE,23,17,0,Healthy,0,24,16,0,Healthy,0,16.0,94,25,17,17,1,1,0,Low,
98,Brian Robinson Jr.,,RB,24,15,1,Minor Injuries,0,25,14,1,Minor Injuries,0,14.0,82,26,17,17,0,1,4,High,
103,Javonte Williams,,RB,23,16,0,Healthy,0,24,17,0,Healthy,0,12.0,71,25,17,17,0,1,1,Low,
264,Kareem Hunt,,RB,28,14,0,Healthy/Backup,0,29,10,0,Healthy/Backup,0,12.0,71,30,17,15,0,0,3,Moderate,
54,Deebo Samuel Sr.,,WR/TE,27,15,1,Minor Injuries,0,28,15,1,Minor Injuries,0,15.0,88,29,17,16,1,1,4,High,
23,Trevor Lawrence,,QB,24,16,0,Healthy,0,25,10,2,Moderate Injuries,0,14.0,82,26,17,17,0,0,3,Moderate,
246,Jalen Tolbert,,WR/TE,23,17,0,Healthy,0,25,17,0,Healthy,0,17.0,100,26,17,17,1,1,0,Low,
67,Jaylen Waddle,,WR/TE,25,14,1,Minor Injuries,0,26,16,0,Healthy,0,15.0,88,27,17,17,1,1,2,Minor,
94,David Njoku,,WR/TE,27,16,0,Healthy,0,28,11,2,Moderate Injuries,0,14.0,82,29,17,17,0,0,3,Moderate,
146,Demario Douglas,,WR/TE,23,14,1,Minor Injuries,0,24,17,0,Healthy,0,16.0,94,25,17,17,1,1,2,Minor,
80,DeAndre Hopkins,,WR/TE,31,17,0,Healthy,0,32,16,0,Healthy,0,14.0,82,33,17,16,0,1,1,Low,
155,Hunter Henry,,WR/TE,29,14,1,Minor Injuries,0,29,16,0,Healthy,0,16.0,94,30,17,17,1,1,2,Minor,
239,Rome Odunze,,WR/TE,21,NaN,0,Healthy,0,22,17,0,Healthy,0,17.0,100,23,17,17,1,1,0,Low,
40,Daniel Jones,,QB,26,6,3,Major Injuries,1,27,10,0,Healthy/Backup,0,14.0,82,28,17,15,0,0,5,High,
208,Mike Gesicki,,WR/TE,28,17,0,Healthy,0,29,17,0,Healthy,0,17.0,100,30,17,17,1,1,0,Low,
253,Ray-Ray McCloud,,WR/TE,27,12,2,Moderate Injuries,0,28,17,0,Healthy,0,14.5,85,29,17,17,1,0,3,Moderate,
157,Cade Otton,,WR/TE,24,17,0,Healthy,0,25,14,1,Minor Injuries,0,16.0,94,26,17,17,1,1,2,Minor,
77,Tank Dell,,WR/TE,24,11,2,Moderate Injuries,0,25,14,1,Minor Injuries,0,13.0,76,26,0,17,0,0,6,Significant,
86,Adam Thielen,,WR/TE,33,17,0,Healthy,0,34,10,2,Moderate Injuries,0,14.0,82,35,17,17,0,0,4,High,
69,Chris Godwin,,WR/TE,27,17,0,Healthy,0,28,7,3,Major Injuries,1,13.0,76,29,17,16,0,0,5,High,
173,Alexander Mattison,,RB,25,16,0,Healthy,0,26,14,1,Minor Injuries,0,16.0,94,27,12,17,1,1,2,Minor,
